Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G18NG-11752	Cgl2160	2285435	2285905	G18NG-11752-MONOMER
G18NG-11280	Cgl1688	1792428	1793429	G18NG-11280-MONOMER
G18NG-9761	Cgl0211	227215	227685	G18NG-9761-MONOMER
G18NG-10739	Cgl1167	1225066	1227696	G18NG-10739-MONOMER
G18NG-10045	Cgl0483	507669	509084	G18NG-10045-MONOMER
G18NG-11735	Cgl2143	2265421	2266398	G18NG-11735-MONOMER
G18NG-11246	Cgl1661	1762514	1763134	G18NG-11246-MONOMER
G18NG-9738	Cgl0189	209207	209968	G18NG-9738-MONOMER
G18NG-12255	Cgl2638	2806014	2806442	G18NG-12255-MONOMER
G18NG-10715	Cgl1143	1194165	1195112	G18NG-10715-MONOMER
G18NG-10024	Cgl0467	487028	488659	G18NG-10024-MONOMER
G18NG-11715	Cgl2123	2241736	2242116	G18NG-11715-MONOMER
G18NG-11225	Cgl1640	1741313	1741909	G18NG-11225-MONOMER
G18NG-9719	Cgl0170	181684	182679	G18NG-9719-MONOMER
G18NG-12231	Cgl2615	2784654	2785616	G18NG-12231-MONOMER
G18NG-10690	Cgl1118	1163702	1164919	G18NG-10690-MONOMER
G18NG-11694	Cgl2102	2217597	2218925	G18NG-11694-MONOMER
G18NG-11207	Cgl1622	1719104	1719676	G18NG-11207-MONOMER
G18NG-10515	Cgl0945	1001332	1002867	G18NG-10515-MONOMER
G18NG-9694	Cgl0145	157614	158141	G18NG-9694-MONOMER
G18NG-12214	Cgl2598	2763502	2764932	G18NG-12214-MONOMER
G18NG-10671	Cgl1099	1146097	1147605	G18NG-10671-MONOMER
G18NG-11678	Cgl2086	2201591	2201869	G18NG-11678-MONOMER
G18NG-11187	Cgl1602	1697081	1699147	G18NG-11187-MONOMER
G18NG-10496	Cgl0926	981622	982290	G18NG-10496-MONOMER
G18NG-9671	Cgl0122	134204	135478	G18NG-9671-MONOMER
G18NG-12194	Cgl2578	2739554	2740651	G18NG-12194-MONOMER
G18NG-10650	Cgl1078	1126422	1127012	G18NG-10650-MONOMER
G18NG-11171	Cgl1586	1680329	1681108	G18NG-11171-MONOMER
G18NG-10478	Cgl0908	962809	963642	G18NG-10478-MONOMER
G18NG-9653	Cgl0104	115949	116266	G18NG-9653-MONOMER
G18NG-12169	Cgl2558	2718434	2719690	G18NG-12169-MONOMER
G18NG-10633	Cgl1061	1109792	1111435	G18NG-10633-MONOMER
G18NG-11152	Cgl1567	1655681	1656703	G18NG-11152-MONOMER
G18NG-10458	Cgl0888	940041	940757	G18NG-10458-MONOMER
G18NG-9634	Cgl0085	91503	91991	G18NG-9634-MONOMER
G18NG-12139	Cgl2535	2682377	2683126	G18NG-12139-MONOMER
G18NG-12662	Cgl3041	3245820	3246932	G18NG-12662-MONOMER
G18NG-11127	Cgl1542	1629913	1630671	G18NG-11127-MONOMER
G18NG-10439	Cgl0869	924898	925134	G18NG-10439-MONOMER
G18NG-9609	Cgl0063	64190	65461	G18NG-9609-MONOMER
G18NG-11123	Cgl1538	1623024	1624826	G18NG-11123-MONOMER
G18NG-10436	Cgl0866	924156	924407	G18NG-10436-MONOMER
G18NG-9602	Cgl0056	57478	57654	G18NG-9602-MONOMER
G18NG-12113	Cgl2509	2658604	2659458	G18NG-12113-MONOMER
G18NG-12640	Cgl3019	3222723	3223154	G18NG-12640-MONOMER
G18NG-10576	Cgl1004	1057840	1058598	G18NG-10576-MONOMER
G18NG-11098	Cgl1515	1597742	1598623	G18NG-11098-MONOMER
G18NG-10417	Cgl0847	904615	905385	G18NG-10417-MONOMER
G18NG-9581	Cgl0037	36244	37242	G18NG-9581-MONOMER
G18NG-12088	Cgl2485	2630637	2631140	G18NG-12088-MONOMER
G18NG-12617	Cgl2996	3197413	3198504	G18NG-12617-MONOMER
G18NG-10548	Cgl0977	1037448	1038413	G18NG-10548-MONOMER
G18NG-11075	Cgl1492	1571503	1572486	G18NG-11075-MONOMER
G18NG-10385	Cgl0816	863393	865066	G18NG-10385-MONOMER
G18NG-9558	Cgl0016	16314	17210	G18NG-9558-MONOMER
G18NG-12060	Cgl2459	2604607	2605521	G18NG-12060-MONOMER
G18NG-12599	Cgl2978	3179050	3180396	G18NG-12599-MONOMER
G18NG-11048	Cgl1465	1543151	1544554	G18NG-11048-MONOMER
G18NG-10362	Cgl0799	841514	842296	G18NG-10362-MONOMER
G18NG-12712	Cgl3091	3301359	3301733	G18NG-12712-MONOMER
G18NG-12037	Cgl2438	2579767	2580708	G18NG-12037-MONOMER
G18NG-12576	Cgl2955	3159079	3159801	G18NG-12576-MONOMER
G18NG-11031	Cgl1448	1525470	1526534	G18NG-11031-MONOMER
G18NG-10327	Cgl0765	802649	803131	G18NG-10327-MONOMER
G18NG-12693	Cgl3071	3282743	3283105	G18NG-12693-MONOMER
G18NG-12007	Cgl2410	2554027	2555271	G18NG-12007-MONOMER
G18NG-11661	Cgl2069	2186299	2187132	G18NG-11661-MONOMER
G18NG-12548	Cgl2930	3129786	3131399	G18NG-12548-MONOMER
G18NG-11009	Cgl1427	1504256	1504948	G18NG-11009-MONOMER
G18NG-10301	Cgl0739	774147	777035	G18NG-10301-MONOMER
G18NG-11987	Cgl2390	2532602	2533354	G18NG-11987-MONOMER
G18NG-11641	Cgl2049	2161504	2162196	G18NG-11641-MONOMER
G18NG-9998	Cgl0441	465949	467574	G18NG-9998-MONOMER
G18NG-12522	Cgl2904	3103927	3104256	G18NG-12522-MONOMER
G18NG-10985	Cgl1406	1476550	1477812	G18NG-10985-MONOMER
G18NG-10279	Cgl0717	737213	738529	G18NG-10279-MONOMER
G18NG-11969	Cgl2372	2512804	2513148	G18NG-11969-MONOMER
G18NG-11621	Cgl2029	2142882	2144066	G18NG-11621-MONOMER
G18NG-9980	Cgl0423	446075	446524	G18NG-9980-MONOMER
G18NG-12499	Cgl2881	3079846	3080352	G18NG-12499-MONOMER
G18NG-10964	Cgl1385	1452758	1454074	G18NG-10964-MONOMER
G18NG-10255	Cgl0693	711724	712650	G18NG-10255-MONOMER
G18NG-11951	Cgl2354	2494337	2495635	G18NG-11951-MONOMER
G18NG-11604	Cgl2012	2126064	2126756	G18NG-11604-MONOMER
G18NG-9950	Cgl0393	416603	417442	G18NG-9950-MONOMER
G18NG-12477	Cgl2859	3048059	3049483	G18NG-12477-MONOMER
G18NG-10943	Cgl1364	1428221	1429159	G18NG-10943-MONOMER
G18NG-10236	Cgl0674	688913	689890	G18NG-10236-MONOMER
G18NG-11929	Cgl2332	2472251	2472823	G18NG-11929-MONOMER
G18NG-11585	Cgl1993	2103973	2105706	G18NG-11585-MONOMER
G18NG-9930	Cgl0373	396315	396653	G18NG-9930-MONOMER
G18NG-12454	Cgl2837	3025553	3026143	G18NG-12454-MONOMER
G18NG-10907	Cgl1329	1393742	1394224	G18NG-10907-MONOMER
G18NG-9958	Cgl0401	423878	425134	G18NG-9958-MONOMER
G18NG-10219	Cgl0657	671700	672656	G18NG-10219-MONOMER
G18NG-11912	Cgl2315	2451792	2454638	G18NG-11912-MONOMER
G18NG-11567	Cgl1975	2082929	2085190	G18NG-11567-MONOMER
G18NG-9909	Cgl0352	373500	374816	G18NG-9909-MONOMER
G18NG-12437	Cgl2820	3008451	3008690	G18NG-12437-MONOMER
G18NG-10886	Cgl1308	1373347	1375776	G18NG-10886-MONOMER
G18NG-10197	Cgl0635	648437	649105	G18NG-10197-MONOMER
G18NG-11888	Cgl2291	2423913	2424938	G18NG-11888-MONOMER
G18NG-11545	Cgl1953	2062441	2063262	G18NG-11545-MONOMER
G18NG-9889	Cgl0332	348095	348952	G18NG-9889-MONOMER
G18NG-12409	Cgl2792	2976597	2977778	G18NG-12409-MONOMER
G18NG-10854	Cgl1281	1345486	1346442	G18NG-10854-MONOMER
G18NG-10174	Cgl0612	624985	625677	G18NG-10174-MONOMER
G18NG-11868	Cgl2271	2402142	2404013	G18NG-11868-MONOMER
G18NG-11523	Cgl1931	2037815	2038594	G18NG-11523-MONOMER
G18NG-9868	Cgl0312	328283	329542	G18NG-9868-MONOMER
G18NG-12385	Cgl2768	2952710	2952976	G18NG-12385-MONOMER
G18NG-10833	Cgl1260	1326378	1327052	G18NG-10833-MONOMER
G18NG-10152	Cgl0590	602811	604412	G18NG-10152-MONOMER
G18NG-11831	Cgl2238	2373321	2374463	G18NG-11831-MONOMER
G18NG-11503	Cgl1911	2011863	2013359	G18NG-11503-MONOMER
G18NG-9845	Cgl0289	305288	305761	G18NG-9845-MONOMER
G18NG-12364	Cgl2747	2928300	2929238	G18NG-12364-MONOMER
G18NG-10815	Cgl1242	1305921	1307384	G18NG-10815-MONOMER
G18NG-10125	Cgl0563	574615	575220	G18NG-10125-MONOMER
G18NG-11806	Cgl2214	2348830	2350263	G18NG-11806-MONOMER
G18NG-11475		1987884	1988303	G18NG-11475-MONOMER
G18NG-9823	Cgl0268	282934	283317	G18NG-9823-MONOMER
G18NG-12342	Cgl2725	2906637	2907251	G18NG-12342-MONOMER
G18NG-10793	Cgl1220	1283324	1284469	G18NG-10793-MONOMER
G18NG-10107	Cgl0545	558604	558969	G18NG-10107-MONOMER
G18NG-11788	Cgl2196	2328517	2330439	G18NG-11788-MONOMER
G18NG-11412	Cgl1820	1931932	1932315	G18NG-11412-MONOMER
G18NG-9804	Cgl0250	268255	269124	G18NG-9804-MONOMER
G18NG-12314	Cgl2697	2869861	2870445	G18NG-12314-MONOMER
G18NG-10774	Cgl1201	1268507	1269346	G18NG-10774-MONOMER
G18NG-10084	Cgl0522	540112	540426	G18NG-10084-MONOMER
G18NG-11769	Cgl2177	2306315	2307625	G18NG-11769-MONOMER
G18NG-11352	Cgl1760	1858763	1860730	G18NG-11352-MONOMER
G18NG-9781	Cgl0228	243494	243913	G18NG-9781-MONOMER
G18NG-12291	Cgl2674	2841076	2841852	G18NG-12291-MONOMER
G18NG-10757	Cgl1184	1243855	1244784	G18NG-10757-MONOMER
G18NG-10063	Cgl0501	529589	530626	G18NG-10063-MONOMER
G18NG-11749	Cgl2157	2281164	2282624	G18NG-11749-MONOMER
G18NG-11270	Cgl1678	1781016	1781585	G18NG-11270-MONOMER
G18NG-9758	Cgl0208	225239	226324	G18NG-9758-MONOMER
G18NG-12270	Cgl2653	2822388	2823341	G18NG-12270-MONOMER
G18NG-10735	Cgl1163	1218028	1219602	G18NG-10735-MONOMER
G18NG-10042	Cgl0480	502925	504286	G18NG-10042-MONOMER
G18NG-11731	Cgl2139	2260932	2261468	G18NG-11731-MONOMER
G18NG-11243	Cgl1658	1758800	1760734	G18NG-11243-MONOMER
G18NG-9734	Cgl0185	199772	201292	G18NG-9734-MONOMER
G18NG-12252	Cgl2635	2804072	2804692	G18NG-12252-MONOMER
G18NG-10712	Cgl1140	1191087	1191545	G18NG-10712-MONOMER
G18NG-10021	Cgl0465	485074	485385	G18NG-10021-MONOMER
G18NG-11710	Cgl2118	2234853	2237288	G18NG-11710-MONOMER
G18NG-11221	Cgl1636	1735056	1735949	G18NG-11221-MONOMER
G18NG-9714	Cgl0165	177334	178206	G18NG-9714-MONOMER
G18NG-12228	Cgl2612	2780440	2780973	G18NG-12228-MONOMER
G18NG-10687	Cgl1115	1159865	1160731	G18NG-10687-MONOMER
G18NG-11691	Cgl2099	2215636	2215863	G18NG-11691-MONOMER
G18NG-11204	Cgl1619	1716129	1716692	G18NG-11204-MONOMER
G18NG-10512	Cgl0942	997463	998440	G18NG-10512-MONOMER
G18NG-9691	Cgl0142	155853	156170	G18NG-9691-MONOMER
G18NG-12211	Cgl2595	2757861	2759201	G18NG-12211-MONOMER
G18NG-10666	Cgl1094	1140898	1141245	G18NG-10666-MONOMER
G18NG-11184	Cgl1599	1693964	1695298	G18NG-11184-MONOMER
G18NG-10493	Cgl0923	977797	978378	G18NG-10493-MONOMER
G18NG-9668	Cgl0119	131798	132427	G18NG-9668-MONOMER
G18NG-12190	Cgl2574	2735200	2736216	G18NG-12190-MONOMER
G18NG-10647	Cgl1075	1123051	1123464	G18NG-10647-MONOMER
G18NG-11168	Cgl1583	1675265	1676623	G18NG-11168-MONOMER
G18NG-10475	Cgl0905	960385	960864	G18NG-10475-MONOMER
G18NG-9650	Cgl0101	112470	114086	G18NG-9650-MONOMER
G18NG-11595	Cgl2003	2116916	2118313	G18NG-11595-MONOMER
G18NG-10732	Cgl1160	1215952	1216839	G18NG-10732-MONOMER
G18NG-12158	Cgl2553	2702485	2703195	G18NG-12158-MONOMER
G18NG-10711	Cgl1139	1188385	1190622	G18NG-10711-MONOMER
G18NG-12678	Cgl3057	3257401	3258492	G18NG-12678-MONOMER
G18NG-12684	Cgl3063	3265185	3266270	G18NG-12684-MONOMER
G18NG-10091	Cgl0529	544754	546889	G18NG-10091-MONOMER
G18NG-12424	Cgl2807	2995745	2996782	G18NG-12424-MONOMER
G18NG-10629	Cgl1057	1106083	1107381	G18NG-10629-MONOMER
G18NG-12136	Cgl2532	2680417	2680650	G18NG-12136-MONOMER
G18NG-11090	Cgl1507	1587570	1591235	G18NG-11090-MONOMER
G18NG-11149	Cgl1564	1651430	1652875	G18NG-11149-MONOMER
G18NG-10730	Cgl1158	1213269	1214861	G18NG-10730-MONOMER
G18NG-9817	Cgl0262	278814	279896	G18NG-9817-MONOMER
G18NG-10455	Cgl0885	937382	938404	G18NG-10455-MONOMER
G18NG-10215	Cgl0653	666457	667770	G18NG-10215-MONOMER
G18NG-12642	Cgl3021	3223990	3224715	G18NG-12642-MONOMER
G18NG-9630	Cgl0081	88542	89444	G18NG-9630-MONOMER
G18NG-12357	Cgl2740	2920287	2921294	G18NG-12357-MONOMER
G18NG-11093	Cgl1510	1593337	1594515	G18NG-11093-MONOMER
G18NG-12135	Cgl2531	2679682	2680128	G18NG-12135-MONOMER
G18NG-10731	Cgl1159	1214871	1215941	G18NG-10731-MONOMER
G18NG-9876	Cgl0319	335009	336115	G18NG-9876-MONOMER
G18NG-12658	Cgl3037	3241877	3242689	G18NG-12658-MONOMER
G18NG-10412	Cgl0842	897724	897963	G18NG-10412-MONOMER
G18NG-12677	Cgl3056	3256469	3257374	G18NG-12677-MONOMER
G18NG-10598	Cgl1026	1077297	1078274	G18NG-10598-MONOMER
G18NG-12413	Cgl2796	2980179	2981699	G18NG-12413-MONOMER
G18NG-11118	Cgl1533	1618318	1619616	G18NG-11118-MONOMER
G18NG-10431	Cgl0861	919967	921529	G18NG-10431-MONOMER
G18NG-9599	Cgl0053	55626	56417	G18NG-9599-MONOMER
G18NG-12105	Cgl2501	2652065	2652802	G18NG-12105-MONOMER
G18NG-12636	Cgl3015	3217455	3217778	G18NG-12636-MONOMER
G18NG-10573	Cgl1001	1055783	1056322	G18NG-10573-MONOMER
G18NG-11094	Cgl1511	1594532	1594954	G18NG-11094-MONOMER
G18NG-10414	Cgl0844	898431	899231	G18NG-10414-MONOMER
G18NG-9577	Cgl0032	32699	33460	G18NG-9577-MONOMER
G18NG-12083	Cgl2480	2625601	2625810	G18NG-12083-MONOMER
G18NG-12614	Cgl2993	3193250	3194515	G18NG-12614-MONOMER
G18NG-10541	Cgl0970	1032196	1032783	G18NG-10541-MONOMER
G18NG-11070	Cgl1487	1565299	1566438	G18NG-11070-MONOMER
G18NG-10378	Cgl0813	854724	855479	G18NG-10378-MONOMER
G18NG-9553	Cgl0013	11831	14401	G18NG-9553-MONOMER
G18NG-12055	Cgl2456	2598660	2600765	G18NG-12055-MONOMER
G18NG-12595	Cgl2974	3175028	3176905	G18NG-12595-MONOMER
G18NG-11044	Cgl1461	1537867	1538919	G18NG-11044-MONOMER
G18NG-10350	Cgl0788	831021	831974	G18NG-10350-MONOMER
G18NG-12709	Cgl3088	3296157	3299408	G18NG-12709-MONOMER
G18NG-12033	Cgl2434	2574778	2575899	G18NG-12033-MONOMER
G18NG-12570	Cgl2949	3153892	3154767	G18NG-12570-MONOMER
G18NG-11026	Cgl1443	1520957	1521592	G18NG-11026-MONOMER
G18NG-10322	Cgl0760	796250	798787	G18NG-10322-MONOMER
G18NG-12690	Cgl3069	3276669	3281600	G18NG-12690-MONOMER
G18NG-12004	Cgl2407	2548869	2549699	G18NG-12004-MONOMER
G18NG-11657	Cgl2065	2179625	2183092	G18NG-11657-MONOMER
G18NG-12545	Cgl2927	3126393	3126995	G18NG-12545-MONOMER
G18NG-11006	Cgl1424	1501710	1502579	G18NG-11006-MONOMER
G18NG-10297	Cgl0735	760903	762468	G18NG-10297-MONOMER
G18NG-11983	Cgl2386	2528549	2529481	G18NG-11983-MONOMER
G18NG-11636	Cgl2044	2156744	2157721	G18NG-11636-MONOMER
G18NG-9995	Cgl0438	463867	464475	G18NG-9995-MONOMER
G18NG-12518	Cgl2900	3099557	3100702	G18NG-12518-MONOMER
G18NG-10979	Cgl1400	1470211	1471416	G18NG-10979-MONOMER
G18NG-10273	Cgl0711	731857	733020	G18NG-10273-MONOMER
G18NG-11966	Cgl2369	2511428	2511880	G18NG-11966-MONOMER
G18NG-11618	Cgl2026	2140068	2140886	G18NG-11618-MONOMER
G18NG-9977	Cgl0420	441598	442482	G18NG-9977-MONOMER
G18NG-12496	Cgl2878	3075538	3076563	G18NG-12496-MONOMER
G18NG-10959	Cgl1380	1448645	1449028	G18NG-10959-MONOMER
G18NG-10251	Cgl0689	705211	708633	G18NG-10251-MONOMER
G18NG-11947	Cgl2350	2491149	2491859	G18NG-11947-MONOMER
G18NG-11601	Cgl2009	2123216	2123848	G18NG-11601-MONOMER
G18NG-9947	Cgl0390	413643	414713	G18NG-9947-MONOMER
G18NG-12473	Cgl2855	3042661	3045792	G18NG-12473-MONOMER
G18NG-10938	Cgl1359	1421099	1422559	G18NG-10938-MONOMER
G18NG-10233	Cgl0671	686435	687349	G18NG-10233-MONOMER
G18NG-11925	Cgl2328	2467078	2467926	G18NG-11925-MONOMER
G18NG-11582	Cgl1990	2100240	2101844	G18NG-11582-MONOMER
G18NG-9927	Cgl0370	392705	393478	G18NG-9927-MONOMER
G18NG-12451	Cgl2834	3022111	3022929	G18NG-12451-MONOMER
G18NG-10904	Cgl1326	1390796	1392919	G18NG-10904-MONOMER
G18NG-10212	Cgl0650	662379	663761	G18NG-10212-MONOMER
G18NG-11563	Cgl1971	2079278	2080183	G18NG-11563-MONOMER
G18NG-9906	Cgl0349	369794	370408	G18NG-9906-MONOMER
G18NG-12434	Cgl2817	3003478	3005163	G18NG-12434-MONOMER
G18NG-10870	Cgl1297	1364337	1364960	G18NG-10870-MONOMER
G18NG-10193	Cgl0631	644026	644781	G18NG-10193-MONOMER
G18NG-11885	Cgl2288	2420898	2421950	G18NG-11885-MONOMER
G18NG-11542	Cgl1950	2059774	2060502	G18NG-11542-MONOMER
G18NG-9885	Cgl0328	343636	345720	G18NG-9885-MONOMER
G18NG-12402	Cgl2785	2971018	2972061	G18NG-12402-MONOMER
G18NG-10849	Cgl1276	1342458	1342727	G18NG-10849-MONOMER
G18NG-10169	Cgl0607	620004	621575	G18NG-10169-MONOMER
G18NG-11860	Cgl2265	2395205	2396767	G18NG-11860-MONOMER
G18NG-11519	Cgl1927	2031478	2035386	G18NG-11519-MONOMER
G18NG-9864	Cgl0308	322007	322210	G18NG-9864-MONOMER
G18NG-12380	Cgl2763	2948047	2949189	G18NG-12380-MONOMER
G18NG-10830	Cgl1257	1322393	1323409	G18NG-10830-MONOMER
G18NG-10145	Cgl0583	596109	597452	G18NG-10145-MONOMER
G18NG-11826	Cgl2234	2369114	2370382	G18NG-11826-MONOMER
G18NG-11498	Cgl1906	2008250	2008801	G18NG-11498-MONOMER
G18NG-9842	Cgl0286	302167	303102	G18NG-9842-MONOMER
G18NG-12361	Cgl2744	2925542	2926708	G18NG-12361-MONOMER
G18NG-10809	Cgl1236	1300552	1301058	G18NG-10809-MONOMER
G18NG-10122	Cgl0560	573407	573625	G18NG-10122-MONOMER
G18NG-11803	Cgl2211	2344432	2346051	G18NG-11803-MONOMER
G18NG-11469		1983918	1984184	G18NG-11469-MONOMER
G18NG-9820	Cgl0265	280667	280939	G18NG-9820-MONOMER
G18NG-12332	Cgl2715	2887942	2888079	G18NG-12332-MONOMER
G18NG-10790	Cgl1217	1281259	1281714	G18NG-10790-MONOMER
G18NG-10104	Cgl0541	557373	557558	G18NG-10104-MONOMER
G18NG-11784	Cgl2192	2325271	2325888	G18NG-11784-MONOMER
G18NG-11393	Cgl1801	1910639	1912300	G18NG-11393-MONOMER
G18NG-9801	Cgl0246	263295	264566	G18NG-9801-MONOMER
G18NG-12311	Cgl2694	2865729	2866568	G18NG-12311-MONOMER
G18NG-10771	Cgl1198	1262883	1264610	G18NG-10771-MONOMER
G18NG-10080	Cgl0517	537977	538255	G18NG-10080-MONOMER
G18NG-11765	Cgl2173	2300707	2302179	G18NG-11765-MONOMER
G18NG-11334	Cgl1742	1842804	1843340	G18NG-11334-MONOMER
G18NG-9776	Cgl0224	238176	239528	G18NG-9776-MONOMER
G18NG-12285	Cgl2668	2836046	2837500	G18NG-12285-MONOMER
G18NG-10752	Cgl1179	1238274	1239926	G18NG-10752-MONOMER
G18NG-10057	Cgl0495	523896	526013	G18NG-10057-MONOMER
G18NG-11746	Cgl2154	2278120	2278860	G18NG-11746-MONOMER
G18NG-11257	Cgl1672	1772655	1773863	G18NG-11257-MONOMER
G18NG-9752	Cgl0203	220151	221107	G18NG-9752-MONOMER
G18NG-12265	Cgl2648	2817364	2818062	G18NG-12265-MONOMER
G18NG-10728	Cgl1156	1209934	1212132	G18NG-10728-MONOMER
G18NG-10039	Cgl0477	499162	499872	G18NG-10039-MONOMER
G18NG-11727	Cgl2135	2255736	2257025	G18NG-11727-MONOMER
G18NG-11239	Cgl1654	1754922	1755479	G18NG-11239-MONOMER
G18NG-9731	Cgl0182	193262	194467	G18NG-9731-MONOMER
G18NG-12247	Cgl2630	2798838	2799395	G18NG-12247-MONOMER
G18NG-10705	Cgl1133	1181993	1183606	G18NG-10705-MONOMER
G18NG-10016	Cgl0459	481128	481391	G18NG-10016-MONOMER
G18NG-11706	Cgl2114	2230944	2231933	G18NG-11706-MONOMER
G18NG-11217	Cgl1632	1727382	1730048	G18NG-11217-MONOMER
G18NG-9709	Cgl0160	170933	172447	G18NG-9709-MONOMER
G18NG-12224	Cgl2608	2774935	2775690	G18NG-12224-MONOMER
G18NG-10682	Cgl1110	1156902	1157672	G18NG-10682-MONOMER
G18NG-11688	Cgl2096	2211879	2212619	G18NG-11688-MONOMER
G18NG-11198	Cgl1613	1711349	1711927	G18NG-11198-MONOMER
G18NG-10508	Cgl0938	994842	995375	G18NG-10508-MONOMER
G18NG-9686	Cgl0137	149791	150930	G18NG-9686-MONOMER
G18NG-12207	Cgl2591	2753326	2753805	G18NG-12207-MONOMER
G18NG-10660	Cgl1088	1136935	1137891	G18NG-10660-MONOMER
G18NG-11181	Cgl1596	1691636	1692271	G18NG-11181-MONOMER
G18NG-10488	Cgl0918	972241	973035	G18NG-10488-MONOMER
G18NG-9664	Cgl0115	128096	129049	G18NG-9664-MONOMER
G18NG-12187	Cgl2571	2732637	2733371	G18NG-12187-MONOMER
G18NG-10644	Cgl1072	1120830	1121432	G18NG-10644-MONOMER
G18NG-11163	Cgl1578	1670395	1671102	G18NG-11163-MONOMER
G18NG-10471	Cgl0901	955683	957398	G18NG-10471-MONOMER
G18NG-9646	Cgl0097	105838	106392	G18NG-9646-MONOMER
G18NG-12155	Cgl2550	2697381	2698151	G18NG-12155-MONOMER
G18NG-12680	Cgl3059	3261130	3261993	G18NG-12680-MONOMER
G18NG-10621	Cgl1049	1098609	1098932	G18NG-10621-MONOMER
G18NG-11146	Cgl1561	1648097	1649362	G18NG-11146-MONOMER
G18NG-10452	Cgl0882	934423	935322	G18NG-10452-MONOMER
G18NG-9625	Cgl0076	83688	84935	G18NG-9625-MONOMER
G18NG-12131	Cgl2527	2675492	2676244	G18NG-12131-MONOMER
G18NG-12655	Cgl3034	3238083	3239336	G18NG-12655-MONOMER
G18NG-10590	Cgl1018	1069959	1071137	G18NG-10590-MONOMER
G18NG-11114	Cgl1529	1612231	1614444	G18NG-11114-MONOMER
G18NG-12119	Cgl2515	2662881	2663183	G18NG-12119-MONOMER
G18NG-10428	Cgl0858	916967	917680	G18NG-10428-MONOMER
G18NG-12645	Cgl3024	3226908	3227690	G18NG-12645-MONOMER
G18NG-9591	Cgl0046	48021	48485	G18NG-9591-MONOMER
G18NG-10582	Cgl1010	1062208	1063629	G18NG-10582-MONOMER
G18NG-12102	Cgl2498	2650442	2650906	G18NG-12102-MONOMER
G18NG-11105	Cgl1522	1604827	1605315	G18NG-11105-MONOMER
G18NG-12631	Cgl3010	3211902	3212429	G18NG-12631-MONOMER
G18NG-10421	Cgl0851	907756	909378	G18NG-10421-MONOMER
G18NG-10567	Cgl0995	1049424	1050362	G18NG-10567-MONOMER
G18NG-9585	Cgl0040	40186	40458	G18NG-9585-MONOMER
G18NG-11088	Cgl1505	1586462	1586725	G18NG-11088-MONOMER
G18NG-12094	Cgl2491	2634745	2635152	G18NG-12094-MONOMER
G18NG-10405	Cgl0836	885672	894581	G18NG-10405-MONOMER
G18NG-12624	Cgl3003	3204729	3205205	G18NG-12624-MONOMER
G18NG-9574	Cgl0029	29995	30654	G18NG-9574-MONOMER
G18NG-10554	Cgl0982	1040925	1041920	G18NG-10554-MONOMER
G18NG-12073	Cgl2472	2618073	2618873	G18NG-12073-MONOMER
G18NG-11082	Cgl1499	1579446	1580771	G18NG-11082-MONOMER
G18NG-12611	Cgl2990	3191355	3191852	G18NG-12611-MONOMER
G18NG-10397	Cgl0828	875982	877112	G18NG-10397-MONOMER
G18NG-10537	Cgl0966	1026502	1028886	G18NG-10537-MONOMER
G18NG-9564	Cgl0022	21597	22127	G18NG-9564-MONOMER
G18NG-11063	Cgl1480	1559494	1560237	G18NG-11063-MONOMER
G18NG-12065		2610846	2611532	G18NG-12065-MONOMER
G18NG-10375	Cgl0810	851351	852367	G18NG-10375-MONOMER
G18NG-12603	Cgl2982	3183985	3184662	G18NG-12603-MONOMER
G18NG-9544	Cgl0004	3585	4769	G18NG-9544-MONOMER
G18NG-11052	Cgl1469	1548651	1549352	G18NG-11052-MONOMER
G18NG-12050	Cgl2451	2594595	2595062	G18NG-12050-MONOMER
G18NG-10366	Cgl0803	845198	846100	G18NG-10366-MONOMER
G18NG-12590	Cgl2969	3171617	3172537	G18NG-12590-MONOMER
G18NG-12717	Cgl3096	3305862	3306533	G18NG-12717-MONOMER
G18NG-11041	Cgl1458	1535379	1536227	G18NG-11041-MONOMER
G18NG-12043	Cgl2444	2588723	2589433	G18NG-12043-MONOMER
G18NG-10345	Cgl0783	824190	825242	G18NG-10345-MONOMER
G18NG-12582	Cgl2961	3163072	3163734	G18NG-12582-MONOMER
G18NG-12706	Cgl3085	3290621	3291943	G18NG-12706-MONOMER
G18NG-11035	Cgl1452	1530338	1531816	G18NG-11035-MONOMER
G18NG-12030	Cgl2431	2572349	2572678	G18NG-12030-MONOMER
G18NG-10337	Cgl0775	811170	814220	G18NG-10337-MONOMER
G18NG-12563	Cgl2945	3144662	3145630	G18NG-12563-MONOMER
G18NG-12697	Cgl3076	3285456	3286580	G18NG-12697-MONOMER
G18NG-11023	Cgl1440	1517170	1519461	G18NG-11023-MONOMER
G18NG-12014	Cgl2416	2559158	2560135	G18NG-12014-MONOMER
G18NG-10317	Cgl0755	791512	793011	G18NG-10317-MONOMER
G18NG-11669	Cgl2077	2191522	2193168	G18NG-11669-MONOMER
G18NG-11999	Cgl2402	2544020	2544877	G18NG-11999-MONOMER
G18NG-12554	Cgl2937	3136591	3137904	G18NG-12554-MONOMER
G18NG-11652	Cgl2060	2171748	2172086	G18NG-11652-MONOMER
G18NG-11014	Cgl1432	1508813	1510369	G18NG-11014-MONOMER
