Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-2
CGTRNA_RS03475	CGTRNA_RS03475	714211	715707	MmgE/PrpD family protein	CGTRNA_RS03485 // prpB // CGTRNA_RS03475	cg0796
CGTRNA_RS09925	CGTRNA_RS09925	2111319	2111813	M23 family metallopeptidase	CGTRNA_RS09925	cg2223
CGTRNA_RS02085	CGTRNA_RS02085	427171	427869	response regulator transcription factor	CGTRNA_RS02085 // CGTRNA_RS02080 // CGTRNA_RS02075	cg0484
CGTRNA_RS04075	CGTRNA_RS04075	855082	856197	iron chelate uptake ABC transporter family permease subunit	CGTRNA_RS04080 // CGTRNA_RS04075 // CGTRNA_RS04070	cg0927
rpsI	CGTRNA_RS02930	595383	595931	30S ribosomal protein S9	rpsI // rplM	cg0674
CGTRNA_RS03615	CGTRNA_RS03615	743882	744304	VOC family protein	CGTRNA_RS03615	cg0829
CGTRNA_RS08505	CGTRNA_RS08505	1798822	1799244	hypothetical protein	CGTRNA_RS08505 // CGTRNA_RS16015	cg1909
CGTRNA_RS00365	CGTRNA_RS00365	68718	70298	CitMHS family transporter	CGTRNA_RS00365	cg0088
CGTRNA_RS06805	CGTRNA_RS06805	1426746	1427348	dephospho-CoA kinase	CGTRNA_RS06805 // CGTRNA_RS06800	cg1538
CGTRNA_RS00620	CGTRNA_RS00620	126351	127190	pantoate--beta-alanine ligase	panB // CGTRNA_RS00620	cg0148
CGTRNA_RS12935	CGTRNA_RS12935	2753748	2754281	TetR family transcriptional regulator	CGTRNA_RS12940 // CGTRNA_RS12935 // CGTRNA_RS12930	cg2894
CGTRNA_RS04750	CGTRNA_RS04750	1004483	1005403	ABC transporter ATP-binding protein	CGTRNA_RS04755 // CGTRNA_RS04750	cg1081
phnE	CGTRNA_RS07320	1537691	1538497	phosphonate ABC transporter, permease protein PhnE	CGTRNA_RS07335 // phnD // phnC // phnE // phnE	cg1650
CGTRNA_RS12940	CGTRNA_RS12940	2754305	2755627	MFS transporter	CGTRNA_RS12940 // CGTRNA_RS12935 // CGTRNA_RS12930	cg2895
prpB	CGTRNA_RS03480	715704	716621	methylisocitrate lyase	CGTRNA_RS03485 // prpB // CGTRNA_RS03475	cg0797
CGTRNA_RS05830	CGTRNA_RS05830	1225355	1226530	exonuclease SbcCD subunit D	CGTRNA_RS05835 // CGTRNA_RS05830 // CGTRNA_RS05825 // CGTRNA_RS05820	cg1318
CGTRNA_RS04755	CGTRNA_RS04755	1005423	1006256	ABC transporter permease	CGTRNA_RS04755 // CGTRNA_RS04750	cg1082
CGTRNA_RS09930	CGTRNA_RS09930	2111810	2112757	tyrosine recombinase XerC	CGTRNA_RS09930	cg2224
CGTRNA_RS09065	CGTRNA_RS09065	1929683	1929856	methyltransferase	CGTRNA_RS09065	cg2035
CGTRNA_RS07060	CGTRNA_RS07060	1482744	1485830	23S ribosomal RNA	CGTRNA_RS07060	cgr08
CGTRNA_RS04080	CGTRNA_RS04080	856194	856949	ABC transporter ATP-binding protein	CGTRNA_RS04080 // CGTRNA_RS04075 // CGTRNA_RS04070	cg0928
CGTRNA_RS07575	CGTRNA_RS07575	1595999	1596421	low molecular weight phosphatase family protein	CGTRNA_RS07575 // arsB	cg1706
CGTRNA_RS00940	CGTRNA_RS00940	188745	189737	LacI family DNA-binding transcriptional regulator	CGTRNA_RS00940 // CGTRNA_RS00935	cg0221
CGTRNA_RS00195	CGTRNA_RS00195	35012	35671	rhomboid family intramembrane serine protease	CGTRNA_RS00195	cg0049
CGTRNA_RS12945	CGTRNA_RS12945	2755646	2757790	family 16 glycosylhydrolase	CGTRNA_RS12945	cg2896
CGTRNA_RS04760	CGTRNA_RS04760	1006299	1007558	sensor histidine kinase	CGTRNA_RS04765 // CGTRNA_RS04760	cg1083
CGTRNA_RS01490	CGTRNA_RS01490	297792	298253	RidA family protein	CGTRNA_RS01490 // CGTRNA_RS01485	cg0339
CGTRNA_RS03055	CGTRNA_RS03055	619551	620456	DMT family transporter	CGTRNA_RS03055	cg0701
CGTRNA_RS08365	CGTRNA_RS08365	1774127	1775335	Dyp-type peroxidase	CGTRNA_RS08375 // CGTRNA_RS08370 // CGTRNA_RS08365	cg1881
CGTRNA_RS00720	CGTRNA_RS00720	147239	147574	META domain-containing protein	CGTRNA_RS00720 // CGTRNA_RS00715	cg0171
CGTRNA_RS09350	CGTRNA_RS09350	1981923	1983407	RNA polymerase sigma factor	CGTRNA_RS09350	cg2092
CGTRNA_RS01965	CGTRNA_RS01965	400499	401152	TetR/AcrR family transcriptional regulator	CGTRNA_RS01975 // CGTRNA_RS01970 // CGTRNA_RS01965	cg0454
CGTRNA_RS03485	CGTRNA_RS03485	716614	717759	bifunctional 2-methylcitrate synthase/citrate synthase	CGTRNA_RS03485 // prpB // CGTRNA_RS03475	cg0798
CGTRNA_RS04765	CGTRNA_RS04765	1007559	1008170	response regulator transcription factor	CGTRNA_RS04765 // CGTRNA_RS04760	cg1084
dprA	CGTRNA_RS09935	2112932	2114116	DNA-protecting protein DprA	CGTRNA_RS09945 // CGTRNA_RS09940 // dprA	cg2226
CGTRNA_RS04920	CGTRNA_RS04920	1041466	1041798	RibD family protein	CGTRNA_RS04920 // CGTRNA_RS04915	cg1118
CGTRNA_RS06330	CGTRNA_RS06330	1333422	1334480	DoxX family protein	CGTRNA_RS06330	cg1429
CGTRNA_RS04100	CGTRNA_RS04100	863063	864226	pyridoxal phosphate-dependent aminotransferase	CGTRNA_RS04100	cg0931
CGTRNA_RS08600	CGTRNA_RS08600	1813036	1813413	hypothetical protein	CGTRNA_RS08600 // CGTRNA_RS08595	cg1931
CGTRNA_RS02340	CGTRNA_RS02340	480620	481000	hypothetical protein	CGTRNA_RS02340 // CGTRNA_RS02335 // CGTRNA_RS02330	cg0543
CGTRNA_RS01365	CGTRNA_RS01365	276299	276754	Lrp/AsnC family transcriptional regulator	CGTRNA_RS01365	cg0313
CGTRNA_RS01585	CGTRNA_RS01585	316002	317135	TadA family conjugal transfer-associated ATPase	CGTRNA_RS01610 // CGTRNA_RS01605 // CGTRNA_RS01600 // CGTRNA_RS01595 // CGTRNA_RS01590 // CGTRNA_RS01585 // CGTRNA_RS01580	cg0363
CGTRNA_RS00235	CGTRNA_RS00235	43923	45347	penicillin-binding protein 2	CGTRNA_RS00255 // CGTRNA_RS00250 // CGTRNA_RS00245 // CGTRNA_RS00240 // CGTRNA_RS00235 // CGTRNA_RS00230 // pknB	cg0060
CGTRNA_RS08120	CGTRNA_RS08120	1719404	1720501	3-dehydroquinate synthase	aroC // CGTRNA_RS08125 // CGTRNA_RS08120	cg1827
CGTRNA_RS00490	CGTRNA_RS00490	94203	94883	urease accessory protein UreF	CGTRNA_RS00500 // ureG // CGTRNA_RS00490 // ureE // ureC // CGTRNA_RS00475 // CGTRNA_RS00470	cg0117
CGTRNA_RS12950	CGTRNA_RS12950	2757962	2758975	FAD-binding protein	CGTRNA_RS12955 // CGTRNA_RS12950	cg2898
CGTRNA_RS04770	CGTRNA_RS04770	1008519	1009625	YihY/virulence factor BrkB family protein	CGTRNA_RS04770	cg1086
gyrB	CGTRNA_RS00025	5435	7489	DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	cg0007
CGTRNA_RS09940	CGTRNA_RS09940	2114113	2115636	YifB family Mg chelatase-like AAA ATPase	CGTRNA_RS09945 // CGTRNA_RS09940 // dprA	cg2227
phnC	CGTRNA_RS07325	1538494	1539300	phosphonate ABC transporter ATP-binding protein	CGTRNA_RS07335 // phnD // phnC // phnE // phnE	cg1651
CGTRNA_RS12955	CGTRNA_RS12955	2758957	2759664	LysR family transcriptional regulator	CGTRNA_RS12955 // CGTRNA_RS12950	cg2899
CGTRNA_RS03490	CGTRNA_RS03490	717756	718133	hypothetical protein	CGTRNA_RS03495 // CGTRNA_RS03490	cg0799
CGTRNA_RS05835	CGTRNA_RS05835	1226534	1229164	AAA family ATPase	CGTRNA_RS05835 // CGTRNA_RS05830 // CGTRNA_RS05825 // CGTRNA_RS05820	cg1319
CGTRNA_RS04775	CGTRNA_RS04775	1009729	1010004	hypothetical protein	CGTRNA_RS04775	cg1087
CGTRNA_RS01150	CGTRNA_RS01150	233410	233498	tRNA-Ser	CGTRNA_RS01155 // CGTRNA_RS01150	tRNA_3535
CGTRNA_RS06205	CGTRNA_RS06205	1306400	1307392	hypothetical protein	CGTRNA_RS06205 // mnmA	cg1398
CGTRNA_RS12960	CGTRNA_RS12960	2760062	2761024	diaminopimelate dehydrogenase	CGTRNA_RS12960	cg2900
mce	CGTRNA_RS06090	1282727	1283182	methylmalonyl-CoA epimerase	mce	cg1373
CGTRNA_RS04105	CGTRNA_RS04105	864221	864862	DUF3239 domain-containing protein	CGTRNA_RS04110 // CGTRNA_RS04105	cg0932
CGTRNA_RS12965	CGTRNA_RS12965	2761091	2761906	PHB depolymerase family esterase	CGTRNA_RS12965	cg2901
CGTRNA_RS00945	CGTRNA_RS00945	189921	190325	hypothetical protein	CGTRNA_RS00945	cg0222
CGTRNA_RS01800	CGTRNA_RS01800	363825	365261	polysaccharide biosynthesis tyrosine autokinase	CGTRNA_RS01805 // CGTRNA_RS01800	cg0414
CGTRNA_RS09945	CGTRNA_RS09945	2115623	2115991	YraN family protein	CGTRNA_RS09945 // CGTRNA_RS09940 // dprA	cg2228
CGTRNA_RS12970	CGTRNA_RS12970	2761893	2762708	Cof-type HAD-IIB family hydrolase	CGTRNA_RS12970	cg2902
CGTRNA_RS07075	CGTRNA_RS07075	1487509	1488495	HAD-IIA family hydrolase	CGTRNA_RS16135 // CGTRNA_RS07075 // CGTRNA_RS07070	cg1598
CGTRNA_RS12975	CGTRNA_RS12975	2762783	2763214	hypothetical protein	CGTRNA_RS12975	cg2903
CGTRNA_RS04780	CGTRNA_RS04780	1010134	1011534	ABC transporter ATP-binding protein	CGTRNA_RS04785 // CGTRNA_RS04780	cg1088
CGTRNA_RS06475	CGTRNA_RS06475	1365196	1365720	SRPBCC family protein	CGTRNA_RS06475	cg1466
CGTRNA_RS02500	CGTRNA_RS02500	511535	512509	DUF3068 domain-containing protein	CGTRNA_RS02500	cg0575
CGTRNA_RS12980	CGTRNA_RS12980	2763461	2763862	helix-turn-helix transcriptional regulator	CGTRNA_RS12980	cg2904
CGTRNA_RS02215	CGTRNA_RS02215	456640	457152	hypothetical protein	CGTRNA_RS02215 // CGTRNA_RS02210 // hemB // CGTRNA_RS02200 // CGTRNA_RS02195	cg0514
CGTRNA_RS07845	CGTRNA_RS07845	1654358	1655044	transcriptional regulator	CGTRNA_RS07845 // sufB // sufD // sufC // CGTRNA_RS07825 // CGTRNA_RS07820 // CGTRNA_RS07815	cg1765
CGTRNA_RS12990	CGTRNA_RS12990	2764291	2765760	threonine/serine exporter family protein	CGTRNA_RS12990	cg2905
CGTRNA_RS09355	CGTRNA_RS09355	1984207	1985544	DUF418 domain-containing protein	CGTRNA_RS09355 // CGTRNA_RS09360	cg2095
CGTRNA_RS12995	CGTRNA_RS12995	2765840	2766169	hypothetical protein	otsB // CGTRNA_RS13005 // CGTRNA_RS13000 // CGTRNA_RS12995	cg2906
CGTRNA_RS03495	CGTRNA_RS03495	718157	719482	XRE family transcriptional regulator	CGTRNA_RS03495 // CGTRNA_RS03490	cg0800
CGTRNA_RS04785	CGTRNA_RS04785	1011527	1013263	ABC transporter ATP-binding protein	CGTRNA_RS04785 // CGTRNA_RS04780	cg1089
CGTRNA_RS02090	CGTRNA_RS02090	428560	429441	hypothetical protein	CGTRNA_RS02090	cg0485
CGTRNA_RS13000	CGTRNA_RS13000	2766182	2767639	trehalose-6-phosphate synthase	otsB // CGTRNA_RS13005 // CGTRNA_RS13000 // CGTRNA_RS12995	cg2907
gabT	CGTRNA_RS02460	501576	502922	4-aminobutyrate--2-oxoglutarate transaminase	CGTRNA_RS02470 // CGTRNA_RS02465 // gabT	cg0566
CGTRNA_RS04110	CGTRNA_RS04110	864864	866537	DEAD/DEAH box helicase	CGTRNA_RS04110 // CGTRNA_RS04105	cg0933
rplP	CGTRNA_RS02615	537327	537743	50S ribosomal protein L16	rpsQ // CGTRNA_RS02620 // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	cg0602
CGTRNA_RS13005	CGTRNA_RS13005	2767636	2768124	membrane protein	otsB // CGTRNA_RS13005 // CGTRNA_RS13000 // CGTRNA_RS12995	cg2908
CGTRNA_RS09950	CGTRNA_RS09950	2116311	2116616	DUF2469 domain-containing protein	lepB // CGTRNA_RS09955 // CGTRNA_RS09950	cg2229
CGTRNA_RS06620	CGTRNA_RS06620	1390555	1392258	DAK2 domain-containing protein	coaD // rsmD // CGTRNA_RS06630 // CGTRNA_RS06625 // CGTRNA_RS06620 // CGTRNA_RS06615 // CGTRNA_RS06610	cg1497
CGTRNA_RS08755	CGTRNA_RS08755	1849981	1850511	hypothetical protein	CGTRNA_RS08765 // CGTRNA_RS08760 // CGTRNA_RS08755 // CGTRNA_RS08750 // CGTRNA_RS08745	cg1969
CGTRNA_RS08125	CGTRNA_RS08125	1720573	1721145	shikimate kinase	aroC // CGTRNA_RS08125 // CGTRNA_RS08120	cg1828
CGTRNA_RS02845	CGTRNA_RS02845	575340	576356	DNA-directed RNA polymerase subunit alpha	CGTRNA_RS02845	cg0655
otsB	CGTRNA_RS13010	2768179	2768949	trehalose-phosphatase	otsB // CGTRNA_RS13005 // CGTRNA_RS13000 // CGTRNA_RS12995	cg2909
ggt	CGTRNA_RS04790	1013264	1015237	gamma-glutamyltransferase	ggt	cg1090
CGTRNA_RS00565	CGTRNA_RS00565	115579	115947	YidH family protein	CGTRNA_RS00570 // CGTRNA_RS00565	cg0135
CGTRNA_RS02945	CGTRNA_RS02945	598195	599706	hypothetical protein	CGTRNA_RS02950 // CGTRNA_RS02945 // CGTRNA_RS02940	cg0678
CGTRNA_RS13015	CGTRNA_RS13015	2768982	2770064	LacI family DNA-binding transcriptional regulator	CGTRNA_RS13015	cg2910
phnD	CGTRNA_RS07330	1539334	1540386	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein	CGTRNA_RS07335 // phnD // phnC // phnE // phnE	cg1652
modA	CGTRNA_RS01125	229709	230515	molybdate ABC transporter substrate-binding protein	modA // CGTRNA_RS01120 // CGTRNA_RS01115 // moaC // CGTRNA_RS01105 // CGTRNA_RS01100 // CGTRNA_RS01095	cg0263
CGTRNA_RS08860	CGTRNA_RS08860	1870140	1870367	hypothetical protein	CGTRNA_RS08865 // CGTRNA_RS08860	cg1992
CGTRNA_RS13020	CGTRNA_RS13020	2770165	2771118	metal ABC transporter solute-binding protein	CGTRNA_RS13030 // CGTRNA_RS13025 // CGTRNA_RS13020	cg2911
CGTRNA_RS03505	CGTRNA_RS03505	720050	721825	acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha	CGTRNA_RS03505	cg0802
CGTRNA_RS05840	CGTRNA_RS05840	1229358	1230107	alpha/beta hydrolase fold domain-containing protein	CGTRNA_RS05845 // CGTRNA_RS05840	cg1320
CGTRNA_RS04795	CGTRNA_RS04795	1015486	1015737	hypothetical protein	CGTRNA_RS04795	cg1091
CGTRNA_RS01105	CGTRNA_RS01105	226758	227219	MogA/MoaB family molybdenum cofactor biosynthesis protein	modA // CGTRNA_RS01120 // CGTRNA_RS01115 // moaC // CGTRNA_RS01105 // CGTRNA_RS01100 // CGTRNA_RS01095	cg0259
CGTRNA_RS09075	CGTRNA_RS09075	1930528	1932351	hypothetical protein	CGTRNA_RS09075	cg2037
rrf	CGTRNA_RS07065	1485946	1486062	5S ribosomal RNA	rrf	cgr09
CGTRNA_RS04115	CGTRNA_RS04115	866587	868788	helicase-associated domain-containing protein	CGTRNA_RS04115	cg0934
CGTRNA_RS00950	CGTRNA_RS00950	190701	192176	sugar porter family MFS transporter	CGTRNA_RS00950	cg0223
CGTRNA_RS13025	CGTRNA_RS13025	2771129	2771821	metal ABC transporter ATP-binding protein	CGTRNA_RS13030 // CGTRNA_RS13025 // CGTRNA_RS13020	cg2912
CGTRNA_RS07630	CGTRNA_RS07630	1606294	1606728	hypothetical protein	CGTRNA_RS07635 // CGTRNA_RS07630	cg1717
CGTRNA_RS06280	CGTRNA_RS06280	1322944	1323582	GNAT family N-acetyltransferase	CGTRNA_RS06280	cg1417
CGTRNA_RS09955	CGTRNA_RS09955	2116613	2117281	ribonuclease HII	lepB // CGTRNA_RS09955 // CGTRNA_RS09950	cg2230
CGTRNA_RS06860	CGTRNA_RS06860	1437802	1438245	universal stress protein	CGTRNA_RS06860	cg1551
CGTRNA_RS03060	CGTRNA_RS03060	620547	621458	LysR family transcriptional regulator	guaA // CGTRNA_RS03060	cg0702
gmk	CGTRNA_RS08045	1703876	1704448	guanylate kinase	CGTRNA_RS08050 // gmk	cg1810
rpsH	CGTRNA_RS02720	555333	555731	30S ribosomal protein S8	rplO // rpmD // rpsE // rplR // rplF // rpsH	cg0628
CGTRNA_RS08370	CGTRNA_RS08370	1775362	1775910	copper chaperone PCu(A)C	CGTRNA_RS08375 // CGTRNA_RS08370 // CGTRNA_RS08365	cg1883
CGTRNA_RS13030	CGTRNA_RS13030	2771822	2772703	metal ABC transporter permease	CGTRNA_RS13030 // CGTRNA_RS13025 // CGTRNA_RS13020	cg2913
CGTRNA_RS09360	CGTRNA_RS09360	1985630	1986169	hypothetical protein	CGTRNA_RS09355 // CGTRNA_RS09360	cg2096
CGTRNA_RS02290	CGTRNA_RS02290	471911	472807	1,4-dihydroxy-2-naphthoate polyprenyltransferase	CGTRNA_RS02290	cg0531
CGTRNA_RS01690	CGTRNA_RS01690	336782	337453	SDR family oxidoreductase	CGTRNA_RS01690 // CGTRNA_RS01685 // CGTRNA_RS01680	cg0389
CGTRNA_RS07260	CGTRNA_RS07260	1526032	1526880	hypothetical protein	CGTRNA_RS07260	cg1638
CGTRNA_RS08605	CGTRNA_RS08605	1813687	1814166	dual specificity protein phosphatase family protein	CGTRNA_RS08605	cg1932
CGTRNA_RS13035	CGTRNA_RS13035	2772901	2774346	DDE-type integrase/transposase/recombinase	CGTRNA_RS13035	cg2914
CGTRNA_RS01370	CGTRNA_RS01370	276829	277584	AzlC family ABC transporter permease	CGTRNA_RS01375 // CGTRNA_RS01370	cg0314
CGTRNA_RS16130	CGTRNA_RS16130	1409023	1409328	hypothetical protein	CGTRNA_RS16130 // CGTRNA_RS06715	cg1517
CGTRNA_RS00240	CGTRNA_RS00240	45344	46669	FtsW/RodA/SpoVE family cell cycle protein	CGTRNA_RS00255 // CGTRNA_RS00250 // CGTRNA_RS00245 // CGTRNA_RS00240 // CGTRNA_RS00235 // CGTRNA_RS00230 // pknB	cg0061
lepB	CGTRNA_RS09960	2117308	2118096	signal peptidase I	lepB // CGTRNA_RS09955 // CGTRNA_RS09950	cg2232
aroC	CGTRNA_RS08130	1721135	1722358	chorismate synthase	aroC // CGTRNA_RS08125 // CGTRNA_RS08120	cg1829
CGTRNA_RS13045	CGTRNA_RS13045	2774864	2776555	FAD-dependent oxidoreductase	CGTRNA_RS13050 // CGTRNA_RS13045	cg2916
CGTRNA_RS15575	CGTRNA_RS15575	1017452	1018033	hypothetical protein	CGTRNA_RS04810 // CGTRNA_RS15575	cg1095
CGTRNA_RS09990	CGTRNA_RS09990	2122384	2123166	thiazole synthase	CGTRNA_RS09995 // CGTRNA_RS09990 // thiS // thiO // CGTRNA_RS09975	cg2239
CGTRNA_RS13050	CGTRNA_RS13050	2776556	2777305	sugar phosphate isomerase/epimerase	CGTRNA_RS13050 // CGTRNA_RS13045	cg2917
CGTRNA_RS07335	CGTRNA_RS07335	1540427	1541128	HAD family hydrolase	CGTRNA_RS07335 // phnD // phnC // phnE // phnE	cg1653
CGTRNA_RS09965	CGTRNA_RS09965	2118275	2119219	iron-siderophore ABC transporter substrate-binding protein	CGTRNA_RS09965	cg2234
CGTRNA_RS13055	CGTRNA_RS13055	2777380	2778000	Gfo/Idh/MocA family oxidoreductase	CGTRNA_RS13065 // CGTRNA_RS13060 // CGTRNA_RS13055	cg2918
CGTRNA_RS01130	CGTRNA_RS01130	230675	230932	MoaD/ThiS family protein	CGTRNA_RS01130	cg0264
CGTRNA_RS13060	CGTRNA_RS13060	2777982	2778419	Gfo/Idh/MocA family oxidoreductase	CGTRNA_RS13065 // CGTRNA_RS13060 // CGTRNA_RS13055	cg2919
CGTRNA_RS03510	CGTRNA_RS03510	722017	722922	sulfurtransferase	CGTRNA_RS03510	cg0803
CGTRNA_RS05845	CGTRNA_RS05845	1230129	1230566	short-chain fatty acid transporter	CGTRNA_RS05845 // CGTRNA_RS05840	cg1321
CGTRNA_RS04810	CGTRNA_RS04810	1018033	1018491	hypothetical protein	CGTRNA_RS04810 // CGTRNA_RS15575	cg1096
CGTRNA_RS01155	CGTRNA_RS01155	233528	233600	tRNA-Arg	CGTRNA_RS01155 // CGTRNA_RS01150	tRNA_3536
CGTRNA_RS06095	CGTRNA_RS06095	1283271	1283576	thiamine-binding protein	CGTRNA_RS06095	cg1374
CGTRNA_RS04125	CGTRNA_RS04125	869271	869852	DUF3235 domain-containing protein	CGTRNA_RS04125	cg0936
CGTRNA_RS00955	CGTRNA_RS00955	193263	194468	IS30-like element ISCg2 family transposase	CGTRNA_RS00955	cg0226
CGTRNA_RS13065	CGTRNA_RS13065	2778419	2779750	MFS transporter	CGTRNA_RS13065 // CGTRNA_RS13060 // CGTRNA_RS13055	
rplS	CGTRNA_RS09970	2119681	2120022	50S ribosomal protein L19	rplS	cg2235
CGTRNA_RS13070	CGTRNA_RS13070	2779905	2780561	IclR family transcriptional regulator	CGTRNA_RS13070	cg2922
CGTRNA_RS08085	CGTRNA_RS08085	1713704	1715230	TIGR01777 family oxidoreductase	CGTRNA_RS08085	cg1819
CGTRNA_RS01295	CGTRNA_RS01295	260988	261299	YbaB/EbfC family nucleoid-associated protein	CGTRNA_RS01295	cg0297
CGTRNA_RS16135	CGTRNA_RS16135	1488499	1488663	hypothetical protein	CGTRNA_RS16135 // CGTRNA_RS07075 // CGTRNA_RS07070	cg1599
rlmB	CGTRNA_RS13075	2780732	2781673	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	CGTRNA_RS13080 // rlmB	cg2923
CGTRNA_RS00090	CGTRNA_RS00090	17260	17673	SMI1/KNR4 family protein	CGTRNA_RS00090	cg0021
CGTRNA_RS13080	CGTRNA_RS13080	2781705	2783087	cysteine--tRNA ligase	CGTRNA_RS13080 // rlmB	cg2924
CGTRNA_RS06480	CGTRNA_RS06480	1365804	1366304	TetR family transcriptional regulator	CGTRNA_RS06490 // CGTRNA_RS06485 // CGTRNA_RS06480	cg1467
CGTRNA_RS02505	CGTRNA_RS02505	512912	516409	DNA-directed RNA polymerase subunit beta	CGTRNA_RS02510 // CGTRNA_RS02505	cg0576
CGTRNA_RS13085	CGTRNA_RS13085	2783130	2785115	PTS beta-glucoside transporter subunit IIBCA	CGTRNA_RS13085	cg2925
mptB	CGTRNA_RS07850	1655366	1657141	polyprenol phosphomannose-dependent alpha 1,6 mannosyltransferase MptB	CGTRNA_RS07865 // CGTRNA_RS07860 // CGTRNA_RS07855 // mptB	cg1766
CGTRNA_RS09975	CGTRNA_RS09975	2120385	2121050	thiamine phosphate synthase	CGTRNA_RS09995 // CGTRNA_RS09990 // thiS // thiO // CGTRNA_RS09975	cg2236
CGTRNA_RS02795	CGTRNA_RS02795	566798	568084	cytochrome P450	CGTRNA_RS02795 // CGTRNA_RS02790	cg0645
CGTRNA_RS09365	CGTRNA_RS09365	1986302	1988014	DEAD/DEAH box helicase family protein	CGTRNA_RS09370 // CGTRNA_RS09365	cg2097
CGTRNA_RS13090	CGTRNA_RS13090	2785266	2786555	glycoside hydrolase family 32 protein	CGTRNA_RS13100 // nagB // CGTRNA_RS13090	cg2927
nagB	CGTRNA_RS13095	2786585	2787346	glucosamine-6-phosphate deaminase	CGTRNA_RS13100 // nagB // CGTRNA_RS13090	cg2928
CGTRNA_RS03515	CGTRNA_RS03515	723250	724317	Cj0069 family protein	CGTRNA_RS03515	cg0806
CGTRNA_RS02095	CGTRNA_RS02095	429434	432004	FtsX family ABC transporter permease	CGTRNA_RS02095	cg0486
CGTRNA_RS13100	CGTRNA_RS13100	2787387	2788553	N-acetylglucosamine-6-phosphate deacetylase	CGTRNA_RS13100 // nagB // CGTRNA_RS13090	cg2929
CGTRNA_RS01550	CGTRNA_RS01550	308745	309305	TlpA family protein disulfide reductase	CGTRNA_RS01555 // CGTRNA_RS01550 // nth	cg0354
CGTRNA_RS04130	CGTRNA_RS04130	870409	870792	cold-shock protein	CGTRNA_RS04130	cg0938
panB	CGTRNA_RS00625	127190	127999	3-methyl-2-oxobutanoate hydroxymethyltransferase	panB // CGTRNA_RS00620	cg0149
CGTRNA_RS13105	CGTRNA_RS13105	2788767	2789705	dihydrodipicolinate synthase family protein	CGTRNA_RS13110 // CGTRNA_RS13105	cg2931
thiO	CGTRNA_RS09980	2121047	2122171	glycine oxidase ThiO	CGTRNA_RS09995 // CGTRNA_RS09990 // thiS // thiO // CGTRNA_RS09975	cg2237
CGTRNA_RS13110	CGTRNA_RS13110	2789718	2790629	ROK family protein	CGTRNA_RS13110 // CGTRNA_RS13105	cg2932
CGTRNA_RS08135	CGTRNA_RS08135	1722437	1722850	prepilin peptidase	CGTRNA_RS08140 // CGTRNA_RS08135	cg1830
CGTRNA_RS00370	CGTRNA_RS00370	70507	72162	sensor histidine kinase	CGTRNA_RS00375 // CGTRNA_RS00370	cg0089
CGTRNA_RS06810	CGTRNA_RS06810	1427724	1428824	hypothetical protein	CGTRNA_RS06810	cg1540
CGTRNA_RS13115	CGTRNA_RS13115	2790672	2791370	N-acetylmannosamine-6-phosphate 2-epimerase	CGTRNA_RS13115	cg2933
mfd	CGTRNA_RS04830	1020545	1024189	transcription-repair coupling factor	mfd // CGTRNA_RS04825	cg1099
CGTRNA_RS13120	CGTRNA_RS13120	2791656	2792873	exo-alpha-sialidase	CGTRNA_RS13125 // CGTRNA_RS13120	cg2935
CGTRNA_RS07340	CGTRNA_RS07340	1541284	1543575	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiM // CGTRNA_RS07340	cg1654
CGTRNA_RS13125	CGTRNA_RS13125	2792863	2793585	FadR family transcriptional regulator	CGTRNA_RS13125 // CGTRNA_RS13120	cg2936
thiS	CGTRNA_RS09985	2122185	2122382	sulfur carrier protein ThiS	CGTRNA_RS09995 // CGTRNA_RS09990 // thiS // thiO // CGTRNA_RS09975	cg2238
CGTRNA_RS13130	CGTRNA_RS13130	2793893	2795503	twin-arginine translocation signal domain-containing protein	CGTRNA_RS13130	cg2937
CGTRNA_RS01135	CGTRNA_RS01135	230929	231843	ABC transporter ATP-binding protein	hisC // CGTRNA_RS01140 // CGTRNA_RS01135	cg0265
CGTRNA_RS03520	CGTRNA_RS03520	724395	724811	DUF3151 domain-containing protein	CGTRNA_RS03520	cg0807
CGTRNA_RS05850	CGTRNA_RS05850	1230645	1231184	polyisoprenoid-binding protein	CGTRNA_RS05850	cg1322
CGTRNA_RS04835	CGTRNA_RS04835	1024166	1026136	ABC transporter ATP-binding protein	CGTRNA_RS04840 // CGTRNA_RS04835	cg1100
CGTRNA_RS09085	CGTRNA_RS09085	1932890	1933360	hypothetical protein	CGTRNA_RS09085	cg2039
CGTRNA_RS04135	CGTRNA_RS04135	870847	871374	DUF2771 domain-containing protein	CGTRNA_RS04140 // CGTRNA_RS04135	cg0939
CGTRNA_RS07210	CGTRNA_RS07210	1516693	1516766	tRNA-Pro	CGTRNA_RS07210	tRNA_3559
CGTRNA_RS13135	CGTRNA_RS13135	2795684	2796649	ABC transporter permease	CGTRNA_RS13145 // CGTRNA_RS13140 // CGTRNA_RS13135	cg2938
